id;vehicleno;entrytime;exittime;lot_id
1;Marketing;2021-02-22T03:04:27;2021-02-22T08:51:51;1
2;RAM;2021-02-22T05:59:03;2021-02-22T10:12:31;2
3;Cambridgeshire Islands Future;2021-02-21T19:25:08;2021-02-22T03:21:42;3
4;connect;2021-02-22T13:32:26;2021-02-21T17:06:57;4
5;payment calculate;2021-02-21T16:38:57;2021-02-21T18:42:10;5
6;Human;2021-02-22T03:06:11;2021-02-21T21:52:17;6
7;monitor array;2021-02-21T20:42:23;2021-02-22T15:46:52;7
8;Refined architectures;2021-02-22T09:39:21;2021-02-22T02:50:39;8
9;hack Interactions Hollow;2021-02-22T06:13:47;2021-02-22T15:28:51;9
10;bandwidth Specialist Turks and Caicos Islands;2021-02-22T13:59:03;2021-02-21T23:54:11;10
