id;name;address;zipcode;maxslots;availableslots;isopen
1;program override Computers;SAS Public-key Tunisian Dinar;Central African Republic;9070;13764;false
2;bus PNG;incubate Cambridgeshire;implement Chips;61070;8740;true
3;Florida PNG;syndicate;Moldova;48024;59842;false
4;indexing Checking Account;capacitor;distributed back-end Keyboard;53895;99856;false
5;salmon;e-commerce wireless Handmade;knowledge user networks;19;55261;false
6;Incredible Automotive Jordanian Dinar;info-mediaries Corner leading-edge;Generic Soft Keyboard synthesizing Locks;45756;91013;true
7;Dynamic;Comoro Franc GB hacking;Sports digital Developer;54110;5577;false
8;reboot bypassing;Village Rustic Cotton Pizza;online;62188;28356;true
9;HTTP well-modulated;quantify;plum global reinvent;16939;71090;true
10;foreground;matrix Nevada;Solomon Islands Dollar;43025;4151;false
